"Sample Number","Language","Time","Number of Recursive Calls","Number of Transitions","Number of Compares"
144,java 1.8.0_25,00.488,121,415,1010
145,java 1.8.0_25,00.453,121,423,1016
146,java 1.8.0_25,00.458,121,436,1028
147,java 1.8.0_25,00.409,121,436,1029
148,java 1.8.0_25,00.413,121,466,1041
149,java 1.8.0_25,00.528,121,436,1040
150,java 1.8.0_25,00.728,121,452,1048
151,java 1.8.0_25,00.698,121,456,1052
152,java 1.8.0_25,00.700,121,459,1062
153,java 1.8.0_25,00.479,121,460,1066
154,java 1.8.0_25,00.469,121,447,1080
155,java 1.8.0_25,00.529,121,446,1086
156,java 1.8.0_25,00.437,121,472,1080
157,java 1.8.0_25,00.520,121,474,1093
158,java 1.8.0_25,00.548,121,466,1098
159,java 1.8.0_25,00.591,121,479,1100
160,java 1.8.0_25,00.567,121,455,1115
161,java 1.8.0_25,00.552,121,475,1116
162,java 1.8.0_25,00.450,121,467,1127
163,java 1.8.0_25,00.392,124,477,1138
164,java 1.8.0_25,00.422,127,487,1147
165,java 1.8.0_25,00.399,130,493,1160
166,java 1.8.0_25,00.393,133,501,1174
167,java 1.8.0_25,00.402,136,482,1173
168,java 1.8.0_25,00.396,139,496,1191
169,java 1.8.0_25,00.396,142,508,1202
170,java 1.8.0_25,00.395,145,516,1211
171,java 1.8.0_25,00.372,148,514,1223
172,java 1.8.0_25,00.372,151,549,1237
173,java 1.8.0_25,00.381,154,525,1251
174,java 1.8.0_25,00.390,157,532,1273
175,java 1.8.0_25,00.372,160,546,1278
176,java 1.8.0_25,00.373,163,557,1287
177,java 1.8.0_25,00.379,166,549,1301
178,java 1.8.0_25,00.387,169,563,1306
179,java 1.8.0_25,00.389,172,573,1326
180,java 1.8.0_25,00.398,175,569,1335
181,java 1.8.0_25,00.373,178,602,1345
182,java 1.8.0_25,00.374,181,581,1357
183,java 1.8.0_25,00.373,184,590,1367
184,java 1.8.0_25,00.377,187,571,1381
185,java 1.8.0_25,00.378,190,612,1397
186,java 1.8.0_25,00.368,193,628,1406
187,java 1.8.0_25,00.398,196,601,1405
188,java 1.8.0_25,00.388,199,615,1419
189,java 1.8.0_25,00.410,202,613,1432
190,java 1.8.0_25,00.452,205,632,1436
191,java 1.8.0_25,00.577,208,638,1453
192,java 1.8.0_25,00.666,211,654,1464
193,java 1.8.0_25,00.670,214,668,1479
194,java 1.8.0_25,00.674,217,656,1499
195,java 1.8.0_25,00.642,220,651,1503
196,java 1.8.0_25,00.681,223,649,1511
197,java 1.8.0_25,00.631,226,696,1526
198,java 1.8.0_25,00.614,229,710,1535
199,java 1.8.0_25,00.674,232,668,1545
200,java 1.8.0_25,00.677,235,696,1566
201,java 1.8.0_25,00.621,238,691,1569
202,java 1.8.0_25,00.612,241,711,1584
203,java 1.8.0_25,00.523,244,703,1601
204,java 1.8.0_25,00.459,247,706,1615
205,java 1.8.0_25,00.585,250,687,1623
206,java 1.8.0_25,00.473,253,716,1630
207,java 1.8.0_25,00.451,256,718,1642
208,java 1.8.0_25,00.504,259,731,1653
209,java 1.8.0_25,00.456,262,734,1666
210,java 1.8.0_25,00.453,265,759,1678
211,java 1.8.0_25,00.657,268,743,1696
212,java 1.8.0_25,00.562,271,754,1697
213,java 1.8.0_25,00.721,274,758,1706
214,java 1.8.0_25,00.520,277,781,1720
215,java 1.8.0_25,00.622,280,759,1731
216,java 1.8.0_25,00.662,283,796,1736
217,java 1.8.0_25,00.575,286,754,1751
218,java 1.8.0_25,00.608,289,775,1769
219,java 1.8.0_25,00.535,292,780,1775
220,java 1.8.0_25,00.626,295,801,1790
221,java 1.8.0_25,00.614,298,809,1804
222,java 1.8.0_25,00.565,301,797,1807
223,java 1.8.0_25,00.502,304,798,1819
224,java 1.8.0_25,00.535,307,796,1832
225,java 1.8.0_25,00.534,310,844,1840
226,java 1.8.0_25,00.485,313,813,1852
227,java 1.8.0_25,00.460,316,821,1862
228,java 1.8.0_25,00.490,319,844,1875
229,java 1.8.0_25,00.499,322,835,1884
230,java 1.8.0_25,00.493,325,851,1897
231,java 1.8.0_25,00.430,328,839,1908
232,java 1.8.0_25,00.436,331,855,1914
233,java 1.8.0_25,00.440,334,859,1926
234,java 1.8.0_25,00.524,337,871,1937
235,java 1.8.0_25,00.563,340,895,1945
236,java 1.8.0_25,00.534,343,888,1957
237,java 1.8.0_25,00.519,346,890,1968
238,java 1.8.0_25,00.609,349,902,1975
