"Sample Number","Language","Time","Number of Recursive Calls","Number of Transitions","Number of Compares"
594,java 1.8.0_25,00.780,688,2400,5604
595,java 1.8.0_25,00.889,691,2400,5621
596,java 1.8.0_25,00.772,694,2470,5623
597,java 1.8.0_25,00.603,697,2435,5658
598,java 1.8.0_25,00.863,700,2477,5657
599,java 1.8.0_25,00.961,703,2437,5684
600,java 1.8.0_25,00.687,706,2414,5687
601,java 1.8.0_25,00.792,709,2418,5700
602,java 1.8.0_25,00.751,712,2436,5725
603,java 1.8.0_25,00.830,715,2428,5742
604,java 1.8.0_25,00.576,718,2502,5744
605,java 1.8.0_25,00.757,721,2474,5762
606,java 1.8.0_25,00.880,724,2510,5766
607,java 1.8.0_25,00.782,727,2502,5778
608,java 1.8.0_25,00.537,730,2528,5801
609,java 1.8.0_25,00.480,733,2433,5814
610,java 1.8.0_25,00.438,736,2528,5834
611,java 1.8.0_25,00.438,739,2514,5846
612,java 1.8.0_25,00.433,742,2544,5852
613,java 1.8.0_25,00.448,745,2514,5865
614,java 1.8.0_25,00.436,748,2527,5877
615,java 1.8.0_25,00.452,751,2566,5891
616,java 1.8.0_25,00.400,754,2560,5905
617,java 1.8.0_25,00.433,757,2576,5928
618,java 1.8.0_25,00.432,760,2552,5933
619,java 1.8.0_25,00.426,763,2631,5948
620,java 1.8.0_25,00.397,766,2556,5950
621,java 1.8.0_25,00.434,769,2556,5967
622,java 1.8.0_25,00.448,772,2610,5979
623,java 1.8.0_25,00.440,775,2650,5991
624,java 1.8.0_25,00.481,778,2639,6002
625,java 1.8.0_25,00.425,781,2653,6014
626,java 1.8.0_25,00.446,784,2623,6039
627,java 1.8.0_25,00.432,787,2574,6030
628,java 1.8.0_25,00.415,790,2624,6053
629,java 1.8.0_25,00.399,793,2615,6077
630,java 1.8.0_25,00.397,796,2675,6083
631,java 1.8.0_25,00.440,799,2690,6089
632,java 1.8.0_25,00.394,802,2652,6106
633,java 1.8.0_25,00.479,805,2654,6125
634,java 1.8.0_25,00.402,808,2662,6142
635,java 1.8.0_25,00.436,811,2657,6141
636,java 1.8.0_25,00.399,814,2674,6164
637,java 1.8.0_25,00.437,817,2664,6171
638,java 1.8.0_25,00.437,820,2704,6187
639,java 1.8.0_25,00.431,823,2721,6194
640,java 1.8.0_25,00.435,826,2683,6216
641,java 1.8.0_25,00.427,829,2699,6218
642,java 1.8.0_25,00.425,832,2710,6233
643,java 1.8.0_25,00.427,835,2723,6250
644,java 1.8.0_25,00.428,838,2722,6261
645,java 1.8.0_25,00.419,841,2740,6270
646,java 1.8.0_25,00.423,844,2766,6283
647,java 1.8.0_25,00.431,847,2811,6290
648,java 1.8.0_25,00.401,850,2768,6304
649,java 1.8.0_25,00.413,853,2739,6315
650,java 1.8.0_25,00.399,856,2826,6324
651,java 1.8.0_25,00.417,859,2784,6341
652,java 1.8.0_25,00.403,862,2779,6355
653,java 1.8.0_25,00.421,865,2802,6377
654,java 1.8.0_25,00.391,868,2757,6382
655,java 1.8.0_25,00.426,871,2756,6390
656,java 1.8.0_25,00.408,874,2811,6412
657,java 1.8.0_25,00.420,877,2790,6426
658,java 1.8.0_25,00.404,880,2848,6431
659,java 1.8.0_25,00.397,883,2797,6449
660,java 1.8.0_25,00.400,886,2840,6456
661,java 1.8.0_25,00.403,889,2866,6480
662,java 1.8.0_25,00.403,892,2866,6485
663,java 1.8.0_25,00.437,895,2858,6502
664,java 1.8.0_25,00.398,898,2834,6511
665,java 1.8.0_25,00.404,901,2842,6528
666,java 1.8.0_25,00.420,904,2867,6533
667,java 1.8.0_25,00.399,907,2908,6550
668,java 1.8.0_25,00.406,910,2825,6555
669,java 1.8.0_25,00.392,913,2890,6576
670,java 1.8.0_25,00.413,916,2913,6581
671,java 1.8.0_25,00.396,919,2895,6602
672,java 1.8.0_25,00.458,922,2894,6609
673,java 1.8.0_25,00.400,925,2912,6623
674,java 1.8.0_25,00.433,928,2922,6635
675,java 1.8.0_25,00.419,931,2923,6646
676,java 1.8.0_25,00.398,934,2925,6658
677,java 1.8.0_25,00.382,937,2952,6673
678,java 1.8.0_25,00.398,940,2914,6679
679,java 1.8.0_25,00.402,943,2941,6694
680,java 1.8.0_25,00.403,946,2986,6713
681,java 1.8.0_25,00.411,949,2971,6720
682,java 1.8.0_25,00.411,952,2935,6731
683,java 1.8.0_25,00.384,955,3001,6750
684,java 1.8.0_25,00.404,958,3001,6763
685,java 1.8.0_25,00.419,961,3011,6764
686,java 1.8.0_25,00.409,964,2969,6784
687,java 1.8.0_25,00.392,967,2990,6801
688,java 1.8.0_25,00.407,970,3030,6812
689,java 1.8.0_25,00.424,973,3059,6830
690,java 1.8.0_25,00.425,976,2969,6841
691,java 1.8.0_25,00.496,979,3072,6850
692,java 1.8.0_25,00.418,982,3039,6862
693,java 1.8.0_25,00.417,985,3077,6871
694,java 1.8.0_25,00.397,988,3099,6885
695,java 1.8.0_25,00.421,991,3046,6895
696,java 1.8.0_25,00.393,994,3054,6908
697,java 1.8.0_25,00.433,997,3037,6924
698,java 1.8.0_25,00.415,1000,3078,6940
699,java 1.8.0_25,00.430,1003,3053,6947
700,java 1.8.0_25,00.428,1006,3112,6954
701,java 1.8.0_25,00.477,1009,3058,6971
702,java 1.8.0_25,00.418,1012,3133,6980
703,java 1.8.0_25,00.421,1015,3096,6991
704,java 1.8.0_25,00.397,1018,3140,7005
705,java 1.8.0_25,00.405,1021,3159,7018
706,java 1.8.0_25,00.459,1024,3131,7029
707,java 1.8.0_25,00.399,1027,3158,7037
708,java 1.8.0_25,00.430,1030,3146,7058
709,java 1.8.0_25,00.443,1033,3142,7059
710,java 1.8.0_25,00.467,1036,3185,7077
711,java 1.8.0_25,00.423,1039,3155,7085
712,java 1.8.0_25,00.438,1042,3192,7100
713,java 1.8.0_25,00.411,1045,3191,7109
714,java 1.8.0_25,00.440,1048,3191,7122
715,java 1.8.0_25,00.409,1051,3202,7134
716,java 1.8.0_25,00.419,1054,3187,7148
717,java 1.8.0_25,00.473,1057,3216,7161
718,java 1.8.0_25,00.428,1060,3196,7169
719,java 1.8.0_25,00.454,1063,3192,7181
720,java 1.8.0_25,00.421,1066,3254,7190
721,java 1.8.0_25,00.438,1069,3176,7206
722,java 1.8.0_25,00.443,1072,3211,7216
723,java 1.8.0_25,00.417,1075,3209,7225
724,java 1.8.0_25,00.398,1078,3269,7237
725,java 1.8.0_25,00.421,1081,3285,7249
726,java 1.8.0_25,00.434,1084,3299,7260
727,java 1.8.0_25,00.423,1087,3256,7270
728,java 1.8.0_25,00.412,1090,3320,7281
729,java 1.8.0_25,00.417,1093,3293,7290
730,java 1.8.0_25,00.465,1093,3229,7303
731,java 1.8.0_25,00.456,1093,3249,7314
732,java 1.8.0_25,00.448,1093,3283,7325
733,java 1.8.0_25,00.419,1093,3331,7338
734,java 1.8.0_25,00.465,1093,3265,7353
735,java 1.8.0_25,00.426,1093,3307,7364
736,java 1.8.0_25,00.448,1093,3306,7375
737,java 1.8.0_25,00.454,1093,3322,7386
738,java 1.8.0_25,00.421,1093,3297,7394
739,java 1.8.0_25,00.482,1093,3311,7407
740,java 1.8.0_25,00.422,1093,3360,7421
741,java 1.8.0_25,00.454,1093,3306,7433
742,java 1.8.0_25,00.432,1093,3311,7446
743,java 1.8.0_25,00.452,1093,3342,7454
744,java 1.8.0_25,00.428,1093,3318,7469
745,java 1.8.0_25,00.439,1093,3327,7482
746,java 1.8.0_25,00.421,1093,3267,7491
747,java 1.8.0_25,00.448,1093,3382,7506
748,java 1.8.0_25,00.418,1093,3348,7517
749,java 1.8.0_25,00.460,1093,3390,7525
750,java 1.8.0_25,00.427,1093,3334,7533
751,java 1.8.0_25,00.452,1093,3363,7546
752,java 1.8.0_25,00.503,1093,3326,7558
753,java 1.8.0_25,00.426,1093,3376,7569
754,java 1.8.0_25,00.450,1093,3396,7582
755,java 1.8.0_25,00.422,1093,3358,7592
756,java 1.8.0_25,00.453,1093,3411,7598
757,java 1.8.0_25,00.430,1093,3391,7614
758,java 1.8.0_25,00.455,1093,3384,7630
759,java 1.8.0_25,00.428,1093,3389,7643
760,java 1.8.0_25,00.450,1093,3394,7648
761,java 1.8.0_25,00.461,1093,3420,7666
762,java 1.8.0_25,00.470,1093,3406,7675
763,java 1.8.0_25,00.428,1093,3397,7687
764,java 1.8.0_25,00.422,1093,3387,7703
765,java 1.8.0_25,00.501,1093,3413,7707
766,java 1.8.0_25,00.452,1093,3382,7714
767,java 1.8.0_25,00.466,1093,3418,7732
768,java 1.8.0_25,00.450,1093,3412,7743
769,java 1.8.0_25,00.466,1093,3439,7752
770,java 1.8.0_25,00.429,1093,3362,7773
771,java 1.8.0_25,00.460,1093,3395,7777
772,java 1.8.0_25,00.434,1093,3444,7794
773,java 1.8.0_25,00.445,1093,3469,7804
774,java 1.8.0_25,00.449,1093,3482,7813
775,java 1.8.0_25,00.455,1093,3466,7833
776,java 1.8.0_25,00.449,1093,3450,7833
777,java 1.8.0_25,00.447,1093,3463,7852
778,java 1.8.0_25,00.443,1093,3488,7861
779,java 1.8.0_25,00.446,1093,3462,7869
780,java 1.8.0_25,00.495,1093,3494,7886
781,java 1.8.0_25,00.442,1093,3501,7888
782,java 1.8.0_25,00.426,1093,3458,7904
783,java 1.8.0_25,00.443,1093,3482,7912
784,java 1.8.0_25,00.432,1093,3471,7930
785,java 1.8.0_25,00.450,1093,3483,7940
786,java 1.8.0_25,00.432,1093,3494,7946
787,java 1.8.0_25,00.450,1093,3497,7956
788,java 1.8.0_25,00.427,1093,3481,7966
789,java 1.8.0_25,00.447,1093,3526,7974
790,java 1.8.0_25,00.506,1093,3488,7990
791,java 1.8.0_25,00.458,1093,3484,7993
792,java 1.8.0_25,00.456,1093,3529,8018
793,java 1.8.0_25,00.458,1093,3536,8022
794,java 1.8.0_25,00.441,1093,3555,8030
795,java 1.8.0_25,00.557,1093,3527,8041
796,java 1.8.0_25,00.783,1093,3513,8042
797,java 1.8.0_25,00.617,1093,3521,8060
798,java 1.8.0_25,00.512,1093,3484,8081
799,java 1.8.0_25,00.533,1093,3573,8091
800,java 1.8.0_25,00.449,1093,3561,8097
801,java 1.8.0_25,00.495,1093,3531,8104
802,java 1.8.0_25,00.471,1093,3574,8124
803,java 1.8.0_25,00.463,1093,3557,8120
804,java 1.8.0_25,00.474,1093,3609,8135
805,java 1.8.0_25,00.455,1093,3520,8148
806,java 1.8.0_25,00.458,1093,3590,8155
807,java 1.8.0_25,00.470,1093,3549,8164
808,java 1.8.0_25,00.468,1093,3571,8171
809,java 1.8.0_25,00.484,1093,3627,8179
810,java 1.8.0_25,00.441,1093,3573,8194
811,java 1.8.0_25,00.455,1093,3581,8198
812,java 1.8.0_25,00.472,1093,3610,8217
813,java 1.8.0_25,00.448,1093,3593,8225
814,java 1.8.0_25,00.536,1093,3572,8248
815,java 1.8.0_25,00.444,1093,3615,8251
816,java 1.8.0_25,00.471,1093,3654,8267
817,java 1.8.0_25,00.461,1093,3620,8284
818,java 1.8.0_25,00.454,1093,3611,8286
819,java 1.8.0_25,00.458,1093,3585,8293
820,java 1.8.0_25,00.423,1093,3623,8320
821,java 1.8.0_25,00.470,1093,3665,8317
822,java 1.8.0_25,00.456,1093,3614,8337
823,java 1.8.0_25,00.503,1093,3606,8344
824,java 1.8.0_25,00.429,1093,3626,8368
825,java 1.8.0_25,00.454,1093,3671,8375
826,java 1.8.0_25,00.447,1093,3649,8388
827,java 1.8.0_25,00.425,1093,3653,8397
828,java 1.8.0_25,00.471,1093,3698,8417
829,java 1.8.0_25,00.457,1093,3659,8420
830,java 1.8.0_25,00.451,1093,3670,8429
831,java 1.8.0_25,00.451,1093,3697,8439
832,java 1.8.0_25,00.429,1093,3698,8458
833,java 1.8.0_25,00.452,1093,3626,8472
834,java 1.8.0_25,00.450,1093,3624,8469
835,java 1.8.0_25,00.452,1093,3707,8493
836,java 1.8.0_25,00.449,1093,3710,8490
837,java 1.8.0_25,00.423,1093,3690,8505
838,java 1.8.0_25,00.449,1093,3718,8517
839,java 1.8.0_25,00.443,1093,3709,8534
840,java 1.8.0_25,00.448,1093,3701,8545
841,java 1.8.0_25,00.449,1093,3715,8549
842,java 1.8.0_25,00.470,1093,3721,8561
843,java 1.8.0_25,00.426,1093,3729,8585
844,java 1.8.0_25,00.448,1093,3717,8589
845,java 1.8.0_25,00.449,1093,3751,8601
846,java 1.8.0_25,00.447,1093,3698,8606
847,java 1.8.0_25,00.427,1093,3704,8617
848,java 1.8.0_25,00.467,1093,3783,8641
849,java 1.8.0_25,00.447,1093,3743,8653
850,java 1.8.0_25,00.475,1093,3752,8662
851,java 1.8.0_25,00.422,1093,3766,8673
852,java 1.8.0_25,00.459,1093,3754,8679
853,java 1.8.0_25,00.448,1093,3714,8688
854,java 1.8.0_25,00.446,1093,3738,8703
855,java 1.8.0_25,00.437,1093,3697,8717
856,java 1.8.0_25,00.429,1093,3744,8723
857,java 1.8.0_25,00.450,1093,3756,8741
858,java 1.8.0_25,00.459,1093,3770,8745
859,java 1.8.0_25,00.472,1093,3831,8767
860,java 1.8.0_25,00.430,1093,3789,8778
861,java 1.8.0_25,00.470,1093,3780,8791
862,java 1.8.0_25,00.453,1093,3772,8803
863,java 1.8.0_25,00.455,1093,3779,8807
864,java 1.8.0_25,00.414,1093,3743,8817
865,java 1.8.0_25,00.448,1093,3778,8830
866,java 1.8.0_25,00.444,1093,3762,8841
867,java 1.8.0_25,00.484,1093,3771,8848
868,java 1.8.0_25,00.428,1093,3785,8872
869,java 1.8.0_25,00.482,1093,3841,8874
870,java 1.8.0_25,00.477,1093,3858,8880
871,java 1.8.0_25,00.425,1093,3805,8906
872,java 1.8.0_25,00.458,1093,3830,8894
873,java 1.8.0_25,00.460,1093,3812,8907
874,java 1.8.0_25,00.437,1093,3846,8926
875,java 1.8.0_25,00.465,1093,3872,8938
876,java 1.8.0_25,00.437,1093,3800,8944
877,java 1.8.0_25,00.461,1093,3846,8962
878,java 1.8.0_25,00.459,1093,3838,8969
879,java 1.8.0_25,00.429,1093,3863,8983
880,java 1.8.0_25,00.466,1093,3854,8992
881,java 1.8.0_25,00.423,1093,3829,8992
882,java 1.8.0_25,00.424,1093,3824,9007
883,java 1.8.0_25,00.465,1093,3855,9016
884,java 1.8.0_25,00.427,1093,3873,9022
885,java 1.8.0_25,00.454,1093,3883,9037
886,java 1.8.0_25,00.432,1093,3873,9046
887,java 1.8.0_25,00.449,1093,3854,9065
888,java 1.8.0_25,00.425,1093,3904,9067
889,java 1.8.0_25,00.464,1093,3890,9079
890,java 1.8.0_25,00.444,1093,3895,9087
891,java 1.8.0_25,00.451,1093,3883,9106
892,java 1.8.0_25,00.430,1093,3915,9114
893,java 1.8.0_25,00.455,1093,3917,9123
894,java 1.8.0_25,00.459,1093,3916,9125
895,java 1.8.0_25,00.453,1093,3928,9140
896,java 1.8.0_25,00.417,1093,3916,9163
897,java 1.8.0_25,00.429,1093,3942,9170
898,java 1.8.0_25,00.474,1093,3835,9183
899,java 1.8.0_25,00.423,1093,3965,9191
900,java 1.8.0_25,00.451,1093,3893,9199
901,java 1.8.0_25,00.436,1093,3971,9213
902,java 1.8.0_25,00.432,1093,3979,9222
903,java 1.8.0_25,00.424,1093,3937,9236
904,java 1.8.0_25,00.466,1093,3943,9239
905,java 1.8.0_25,00.445,1093,3963,9254
906,java 1.8.0_25,00.465,1093,3956,9259
907,java 1.8.0_25,00.433,1093,4015,9267
908,java 1.8.0_25,00.473,1093,3997,9274
909,java 1.8.0_25,00.458,1093,3932,9299
910,java 1.8.0_25,00.448,1093,3961,9303
911,java 1.8.0_25,00.418,1093,3957,9311
912,java 1.8.0_25,00.459,1093,4036,9316
913,java 1.8.0_25,00.454,1093,3978,9347
914,java 1.8.0_25,00.485,1093,3985,9340
915,java 1.8.0_25,00.432,1093,3987,9358
916,java 1.8.0_25,00.473,1093,3966,9357
917,java 1.8.0_25,00.452,1093,3972,9380
918,java 1.8.0_25,00.453,1093,4037,9372
919,java 1.8.0_25,00.470,1093,3992,9390
920,java 1.8.0_25,00.430,1093,3984,9405
921,java 1.8.0_25,00.469,1093,4052,9425
922,java 1.8.0_25,00.459,1093,4032,9430
923,java 1.8.0_25,00.429,1093,3996,9432
924,java 1.8.0_25,00.480,1093,4034,9466
925,java 1.8.0_25,00.431,1093,4011,9453
926,java 1.8.0_25,00.492,1093,4056,9476
927,java 1.8.0_25,00.450,1093,4051,9467
928,java 1.8.0_25,00.451,1093,4042,9492
929,java 1.8.0_25,00.459,1093,4040,9500
930,java 1.8.0_25,00.429,1093,4073,9519
931,java 1.8.0_25,00.447,1093,4030,9529
932,java 1.8.0_25,00.455,1093,4084,9538
933,java 1.8.0_25,00.426,1093,4090,9546
934,java 1.8.0_25,00.471,1093,4056,9562
935,java 1.8.0_25,00.441,1093,4064,9585
936,java 1.8.0_25,00.460,1093,4035,9571
937,java 1.8.0_25,00.463,1093,4089,9592
938,java 1.8.0_25,00.427,1093,4111,9606
939,java 1.8.0_25,00.480,1093,4021,9610
940,java 1.8.0_25,00.430,1093,4049,9622
941,java 1.8.0_25,00.453,1093,4096,9631
942,java 1.8.0_25,00.453,1093,4112,9634
943,java 1.8.0_25,00.452,1093,4079,9647
944,java 1.8.0_25,00.441,1093,4135,9644
945,java 1.8.0_25,00.432,1093,4152,9682
946,java 1.8.0_25,00.474,1093,4097,9676
947,java 1.8.0_25,00.433,1093,4206,9680
948,java 1.8.0_25,00.454,1093,4086,9690
949,java 1.8.0_25,00.455,1093,4121,9714
950,java 1.8.0_25,00.429,1093,4101,9710
951,java 1.8.0_25,00.452,1093,4121,9722
952,java 1.8.0_25,00.460,1093,4138,9733
953,java 1.8.0_25,00.481,1093,4153,9744
954,java 1.8.0_25,00.466,1093,4061,9755
955,java 1.8.0_25,00.468,1093,4148,9772
956,java 1.8.0_25,00.456,1093,4167,9778
957,java 1.8.0_25,00.444,1093,4137,9792
958,java 1.8.0_25,00.428,1093,4156,9798
959,java 1.8.0_25,00.473,1093,4172,9798
960,java 1.8.0_25,00.455,1093,4170,9821
961,java 1.8.0_25,00.434,1093,4123,9833
962,java 1.8.0_25,00.433,1093,4180,9839
963,java 1.8.0_25,00.452,1093,4220,9839
964,java 1.8.0_25,00.454,1093,4153,9858
965,java 1.8.0_25,00.454,1093,4166,9857
966,java 1.8.0_25,00.481,1093,4171,9872
967,java 1.8.0_25,00.427,1093,4183,9878
968,java 1.8.0_25,00.433,1093,4193,9889
969,java 1.8.0_25,00.458,1093,4195,9894
970,java 1.8.0_25,00.424,1093,4175,9917
971,java 1.8.0_25,00.460,1093,4213,9906
972,java 1.8.0_25,00.452,1093,4258,9919
973,java 1.8.0_25,00.440,1093,4231,9932
974,java 1.8.0_25,00.449,1093,4214,9935
975,java 1.8.0_25,00.449,1093,4158,9965
976,java 1.8.0_25,00.458,1093,4154,9967
977,java 1.8.0_25,00.459,1093,4207,9995
978,java 1.8.0_25,00.434,1093,4197,9980
979,java 1.8.0_25,00.452,1093,4248,9996
980,java 1.8.0_25,00.476,1093,4244,10026
981,java 1.8.0_25,00.443,1093,4308,10034
982,java 1.8.0_25,00.427,1093,4294,10038
983,java 1.8.0_25,00.467,1093,4219,10052
984,java 1.8.0_25,00.460,1093,4278,10051
985,java 1.8.0_25,00.452,1093,4247,10074
986,java 1.8.0_25,00.432,1093,4275,10092
987,java 1.8.0_25,00.429,1093,4247,10109
988,java 1.8.0_25,00.462,1093,4258,10117
989,java 1.8.0_25,00.478,1093,4345,10117
990,java 1.8.0_25,00.439,1093,4340,10146
991,java 1.8.0_25,00.452,1093,4326,10144
992,java 1.8.0_25,00.451,1093,4323,10154
993,java 1.8.0_25,00.473,1093,4286,10158
994,java 1.8.0_25,00.431,1093,4300,10180
995,java 1.8.0_25,00.473,1093,4283,10203
996,java 1.8.0_25,00.462,1093,4368,10204
997,java 1.8.0_25,00.445,1093,4347,10219
998,java 1.8.0_25,00.467,1093,4297,10213
999,java 1.8.0_25,00.429,1093,4352,10242
1000,java 1.8.0_25,00.433,1093,4311,10249
