"Sample Number","Language","Time","Number of Partitioning Stages","Number of Exchanges","Number of Compares"
144,java 1.8.0_25,00.356,147,346,747
145,java 1.8.0_25,00.395,153,320,951
146,java 1.8.0_25,00.415,166,358,675
147,java 1.8.0_25,00.350,163,361,690
148,java 1.8.0_25,00.313,168,371,758
149,java 1.8.0_25,00.459,160,346,728
150,java 1.8.0_25,00.305,160,350,684
151,java 1.8.0_25,00.309,148,406,843
152,java 1.8.0_25,00.343,177,389,694
153,java 1.8.0_25,00.365,169,363,814
154,java 1.8.0_25,00.388,179,402,779
155,java 1.8.0_25,00.680,178,371,677
156,java 1.8.0_25,00.498,167,440,827
157,java 1.8.0_25,00.664,181,392,741
158,java 1.8.0_25,00.559,182,402,698
159,java 1.8.0_25,00.614,176,397,734
160,java 1.8.0_25,00.546,186,387,736
161,java 1.8.0_25,00.514,180,409,767
162,java 1.8.0_25,00.555,167,405,1095
163,java 1.8.0_25,00.618,179,394,954
164,java 1.8.0_25,00.554,171,393,1117
165,java 1.8.0_25,00.476,188,433,905
166,java 1.8.0_25,00.468,187,423,859
167,java 1.8.0_25,00.574,194,419,731
168,java 1.8.0_25,00.549,188,417,944
169,java 1.8.0_25,00.530,191,460,999
170,java 1.8.0_25,00.650,197,408,718
171,java 1.8.0_25,00.625,198,424,755
172,java 1.8.0_25,00.655,181,458,1111
173,java 1.8.0_25,00.655,204,442,785
174,java 1.8.0_25,00.619,204,461,771
175,java 1.8.0_25,00.716,207,458,1168
176,java 1.8.0_25,00.583,204,452,884
177,java 1.8.0_25,00.569,198,458,974
178,java 1.8.0_25,00.657,208,443,901
179,java 1.8.0_25,00.511,200,464,1114
180,java 1.8.0_25,00.608,192,476,857
181,java 1.8.0_25,00.717,207,461,961
182,java 1.8.0_25,00.600,211,439,1027
183,java 1.8.0_25,00.775,216,484,793
184,java 1.8.0_25,00.598,201,472,1107
185,java 1.8.0_25,01.009,224,439,952
186,java 1.8.0_25,00.960,228,454,1189
187,java 1.8.0_25,00.794,230,487,925
188,java 1.8.0_25,00.781,202,472,1110
189,java 1.8.0_25,00.797,220,510,1020
190,java 1.8.0_25,00.864,223,502,1103
191,java 1.8.0_25,00.974,235,491,858
192,java 1.8.0_25,01.384,224,495,1040
193,java 1.8.0_25,00.909,218,532,1107
194,java 1.8.0_25,00.870,229,465,1278
195,java 1.8.0_25,00.902,228,535,955
196,java 1.8.0_25,00.588,234,506,970
197,java 1.8.0_25,00.492,223,497,1073
198,java 1.8.0_25,00.440,250,513,1060
199,java 1.8.0_25,00.400,227,498,1193
200,java 1.8.0_25,00.410,248,542,954
201,java 1.8.0_25,00.429,236,558,956
202,java 1.8.0_25,00.364,243,546,1042
203,java 1.8.0_25,00.420,245,550,1068
204,java 1.8.0_25,00.366,238,573,1106
205,java 1.8.0_25,00.530,256,517,979
206,java 1.8.0_25,00.503,238,533,1282
207,java 1.8.0_25,00.549,261,559,1209
208,java 1.8.0_25,00.479,230,531,1421
209,java 1.8.0_25,00.654,244,504,1078
210,java 1.8.0_25,00.666,234,558,1080
211,java 1.8.0_25,00.968,260,528,1022
212,java 1.8.0_25,01.001,262,537,1220
213,java 1.8.0_25,00.976,248,570,1236
214,java 1.8.0_25,00.846,264,574,1063
215,java 1.8.0_25,00.468,269,533,1073
216,java 1.8.0_25,00.455,266,580,1170
217,java 1.8.0_25,00.392,271,535,1135
218,java 1.8.0_25,00.430,270,591,1050
219,java 1.8.0_25,00.445,269,564,1124
220,java 1.8.0_25,00.455,268,616,1190
221,java 1.8.0_25,00.414,253,572,989
222,java 1.8.0_25,00.433,257,615,1478
223,java 1.8.0_25,00.544,276,615,1067
224,java 1.8.0_25,00.491,277,570,1443
225,java 1.8.0_25,00.483,269,583,1317
226,java 1.8.0_25,00.479,265,589,1218
227,java 1.8.0_25,00.739,282,632,1213
228,java 1.8.0_25,00.849,273,579,1463
229,java 1.8.0_25,01.071,281,584,1192
230,java 1.8.0_25,00.915,263,598,1414
231,java 1.8.0_25,00.935,289,615,1192
232,java 1.8.0_25,00.841,287,597,1264
233,java 1.8.0_25,00.872,270,641,1319
234,java 1.8.0_25,00.834,283,623,1486
235,java 1.8.0_25,00.906,289,672,1401
236,java 1.8.0_25,00.996,287,561,1562
237,java 1.8.0_25,00.730,312,604,1209
238,java 1.8.0_25,00.479,287,618,1713
239,java 1.8.0_25,00.445,286,633,1475
240,java 1.8.0_25,00.403,307,671,1133
241,java 1.8.0_25,00.408,297,635,1486
242,java 1.8.0_25,00.377,301,640,1559
243,java 1.8.0_25,00.390,287,649,1760
244,java 1.8.0_25,00.399,300,644,1315
245,java 1.8.0_25,00.380,307,654,1550
246,java 1.8.0_25,00.452,292,697,1719
247,java 1.8.0_25,00.597,297,668,1650
248,java 1.8.0_25,00.576,314,692,1361
249,java 1.8.0_25,00.587,296,628,1411
250,java 1.8.0_25,00.502,291,692,1806
251,java 1.8.0_25,00.676,322,698,1490
252,java 1.8.0_25,00.753,311,649,1827
253,java 1.8.0_25,00.845,326,680,1481
254,java 1.8.0_25,00.679,316,632,1635
255,java 1.8.0_25,00.708,298,665,2376
256,java 1.8.0_25,00.743,314,692,1703
257,java 1.8.0_25,00.462,307,665,1980
258,java 1.8.0_25,00.447,330,677,1377
259,java 1.8.0_25,00.390,313,719,1667
260,java 1.8.0_25,00.383,320,672,1605
261,java 1.8.0_25,00.432,307,663,1698
262,java 1.8.0_25,00.429,327,717,1696
263,java 1.8.0_25,00.384,341,689,1490
264,java 1.8.0_25,00.425,335,753,1634
265,java 1.8.0_25,00.524,316,725,1629
266,java 1.8.0_25,00.560,322,719,1583
267,java 1.8.0_25,00.518,332,728,1880
268,java 1.8.0_25,00.423,341,709,1482
269,java 1.8.0_25,00.533,337,727,1606
270,java 1.8.0_25,00.472,336,692,2237
271,java 1.8.0_25,00.567,335,776,1767
272,java 1.8.0_25,00.533,351,740,1467
273,java 1.8.0_25,00.633,349,737,1581
274,java 1.8.0_25,00.633,348,722,1598
275,java 1.8.0_25,00.596,362,749,1399
276,java 1.8.0_25,00.827,368,704,1693
277,java 1.8.0_25,00.899,336,712,1883
278,java 1.8.0_25,01.018,377,818,1689
279,java 1.8.0_25,00.851,370,789,1501
280,java 1.8.0_25,00.866,368,765,1670
281,java 1.8.0_25,00.849,359,840,1469
282,java 1.8.0_25,00.958,387,782,1540
283,java 1.8.0_25,01.272,367,776,1459
284,java 1.8.0_25,00.886,375,765,1685
285,java 1.8.0_25,01.204,366,722,1632
286,java 1.8.0_25,00.734,375,795,1623
287,java 1.8.0_25,00.731,355,809,1615
288,java 1.8.0_25,00.731,359,774,2342
289,java 1.8.0_25,00.971,361,801,1755
290,java 1.8.0_25,01.210,396,819,1601
291,java 1.8.0_25,01.036,356,800,2188
292,java 1.8.0_25,00.777,381,766,1881
293,java 1.8.0_25,00.610,369,788,1693
294,java 1.8.0_25,00.578,386,765,1625
295,java 1.8.0_25,00.642,398,786,1603
296,java 1.8.0_25,00.773,367,795,2143
297,java 1.8.0_25,00.661,395,772,1412
298,java 1.8.0_25,00.704,370,777,1945
299,java 1.8.0_25,00.638,407,875,1590
300,java 1.8.0_25,00.579,403,836,1600
301,java 1.8.0_25,00.687,400,774,1851
302,java 1.8.0_25,00.623,381,752,1752
303,java 1.8.0_25,00.608,402,833,2243
304,java 1.8.0_25,00.424,394,818,1844
305,java 1.8.0_25,00.436,387,844,1810
306,java 1.8.0_25,00.505,422,871,1590
307,java 1.8.0_25,00.423,426,873,1715
308,java 1.8.0_25,00.423,404,831,1719
309,java 1.8.0_25,00.392,415,827,2258
310,java 1.8.0_25,00.390,390,865,1871
311,java 1.8.0_25,00.405,411,814,2061
312,java 1.8.0_25,00.364,406,795,1792
313,java 1.8.0_25,00.383,414,843,2071
314,java 1.8.0_25,00.551,422,836,1849
315,java 1.8.0_25,00.446,392,902,1940
316,java 1.8.0_25,00.481,419,842,1935
317,java 1.8.0_25,00.454,431,847,2006
318,java 1.8.0_25,00.472,438,883,1738
319,java 1.8.0_25,00.435,408,851,2170
320,java 1.8.0_25,00.516,409,838,2326
321,java 1.8.0_25,00.515,414,896,1920
322,java 1.8.0_25,00.424,416,885,1950
323,java 1.8.0_25,00.496,431,874,2171
324,java 1.8.0_25,00.435,430,882,1995
325,java 1.8.0_25,00.441,429,910,1973
326,java 1.8.0_25,00.520,445,846,1830
327,java 1.8.0_25,00.499,436,881,1813
328,java 1.8.0_25,00.626,437,872,2141
329,java 1.8.0_25,00.608,413,830,2483
330,java 1.8.0_25,00.597,447,937,2106
331,java 1.8.0_25,00.636,462,921,1657
332,java 1.8.0_25,00.670,432,885,2130
333,java 1.8.0_25,00.569,450,886,1783
334,java 1.8.0_25,00.621,474,909,2185
335,java 1.8.0_25,00.433,459,953,2108
336,java 1.8.0_25,00.402,438,948,2127
337,java 1.8.0_25,00.477,469,962,1951
338,java 1.8.0_25,00.623,442,919,2467
339,java 1.8.0_25,00.825,427,999,2687
340,java 1.8.0_25,00.639,461,942,1883
341,java 1.8.0_25,00.421,469,946,1979
342,java 1.8.0_25,00.422,447,935,2043
343,java 1.8.0_25,00.375,486,968,1979
344,java 1.8.0_25,00.361,451,944,2973
345,java 1.8.0_25,00.366,446,928,2272
346,java 1.8.0_25,00.357,468,941,2246
347,java 1.8.0_25,00.384,502,1000,1796
348,java 1.8.0_25,00.623,467,1005,2551
349,java 1.8.0_25,00.683,463,935,2623
350,java 1.8.0_25,00.557,471,978,2216
351,java 1.8.0_25,00.833,456,941,2541
352,java 1.8.0_25,00.824,467,908,2566
353,java 1.8.0_25,00.450,479,1012,2263
354,java 1.8.0_25,00.417,470,1022,2177
355,java 1.8.0_25,00.402,485,988,2176
356,java 1.8.0_25,00.383,488,973,2193
357,java 1.8.0_25,00.396,459,991,2627
358,java 1.8.0_25,00.530,517,998,1806
359,java 1.8.0_25,00.491,486,1022,2151
360,java 1.8.0_25,00.428,488,1058,2210
361,java 1.8.0_25,00.435,494,975,2036
362,java 1.8.0_25,00.458,481,1037,3085
363,java 1.8.0_25,00.501,479,1016,2226
364,java 1.8.0_25,00.611,488,992,2360
365,java 1.8.0_25,00.520,539,1049,1914
366,java 1.8.0_25,00.611,515,991,2339
367,java 1.8.0_25,00.463,497,1039,1993
368,java 1.8.0_25,00.470,497,1027,2727
369,java 1.8.0_25,00.505,514,1044,2297
370,java 1.8.0_25,00.483,519,1006,2234
371,java 1.8.0_25,00.512,521,1045,2452
372,java 1.8.0_25,00.446,497,1024,2364
373,java 1.8.0_25,00.384,535,1059,1970
374,java 1.8.0_25,00.382,519,1045,2333
375,java 1.8.0_25,00.376,532,1024,2288
376,java 1.8.0_25,00.372,541,1087,2096
377,java 1.8.0_25,00.360,515,1063,2563
378,java 1.8.0_25,00.382,535,1062,2201
379,java 1.8.0_25,00.358,507,1049,2478
380,java 1.8.0_25,00.355,520,1081,2508
381,java 1.8.0_25,00.366,545,1078,2251
382,java 1.8.0_25,00.349,526,1070,2463
383,java 1.8.0_25,00.365,527,1126,2824
384,java 1.8.0_25,00.347,516,1019,2679
385,java 1.8.0_25,00.405,550,1040,2501
386,java 1.8.0_25,00.352,538,1097,2356
387,java 1.8.0_25,00.388,549,1098,2245
388,java 1.8.0_25,00.360,537,1103,2574
389,java 1.8.0_25,00.375,542,1083,2430
390,java 1.8.0_25,00.347,558,1051,2524
391,java 1.8.0_25,00.370,552,1094,2401
392,java 1.8.0_25,00.379,532,1162,2803
393,java 1.8.0_25,00.371,543,1067,3125
394,java 1.8.0_25,00.398,546,1129,2546
395,java 1.8.0_25,00.358,571,1137,2268
396,java 1.8.0_25,00.343,528,1052,2777
397,java 1.8.0_25,00.385,539,1115,2683
398,java 1.8.0_25,00.394,563,1121,2176
399,java 1.8.0_25,00.415,574,1100,2759
400,java 1.8.0_25,00.357,584,1119,2459
401,java 1.8.0_25,00.385,562,1118,2521
402,java 1.8.0_25,00.361,576,1121,2626
403,java 1.8.0_25,00.353,603,1138,2347
404,java 1.8.0_25,00.362,583,1156,2473
405,java 1.8.0_25,00.376,595,1140,2555
406,java 1.8.0_25,00.376,563,1187,2453
407,java 1.8.0_25,00.383,563,1100,2741
408,java 1.8.0_25,00.371,567,1154,2560
409,java 1.8.0_25,00.359,607,1147,2370
410,java 1.8.0_25,00.351,576,1144,2468
411,java 1.8.0_25,00.355,576,1171,2682
412,java 1.8.0_25,00.364,575,1162,2914
413,java 1.8.0_25,00.363,573,1207,2884
414,java 1.8.0_25,00.381,617,1161,2695
415,java 1.8.0_25,00.356,612,1222,2217
416,java 1.8.0_25,00.395,588,1229,2627
417,java 1.8.0_25,00.390,598,1171,3045
418,java 1.8.0_25,00.356,566,1188,2636
419,java 1.8.0_25,00.418,600,1178,2661
420,java 1.8.0_25,00.364,602,1210,2370
421,java 1.8.0_25,00.371,612,1214,2536
422,java 1.8.0_25,00.358,585,1179,2600
423,java 1.8.0_25,00.368,601,1279,2603
424,java 1.8.0_25,00.347,593,1190,3153
425,java 1.8.0_25,00.363,604,1283,3005
426,java 1.8.0_25,00.349,595,1238,2985
427,java 1.8.0_25,00.384,621,1211,2934
428,java 1.8.0_25,00.381,634,1215,2698
429,java 1.8.0_25,00.371,631,1307,2871
430,java 1.8.0_25,00.373,612,1205,3381
431,java 1.8.0_25,00.357,631,1202,2919
432,java 1.8.0_25,00.357,624,1233,2543
433,java 1.8.0_25,00.368,625,1210,2855
434,java 1.8.0_25,00.357,595,1227,2880
435,java 1.8.0_25,00.366,607,1220,3045
436,java 1.8.0_25,00.338,610,1239,2710
437,java 1.8.0_25,00.369,625,1231,2872
438,java 1.8.0_25,00.342,621,1202,2830
439,java 1.8.0_25,00.353,633,1248,3014
440,java 1.8.0_25,00.409,607,1246,3640
441,java 1.8.0_25,00.353,639,1234,2494
442,java 1.8.0_25,00.404,652,1237,2536
443,java 1.8.0_25,00.367,636,1246,2915
444,java 1.8.0_25,00.364,651,1239,2654
445,java 1.8.0_25,00.368,640,1277,3053
446,java 1.8.0_25,00.338,634,1254,3117
447,java 1.8.0_25,00.368,670,1268,2423
448,java 1.8.0_25,00.341,650,1340,2754
449,java 1.8.0_25,00.399,663,1324,2633
450,java 1.8.0_25,00.350,665,1257,2640
451,java 1.8.0_25,00.401,666,1273,2906
452,java 1.8.0_25,00.350,661,1296,2918
453,java 1.8.0_25,00.369,665,1264,2811
454,java 1.8.0_25,00.384,683,1322,2720
455,java 1.8.0_25,00.379,632,1296,3597
456,java 1.8.0_25,00.363,668,1260,3563
457,java 1.8.0_25,00.388,685,1340,2703
458,java 1.8.0_25,00.349,698,1301,2428
459,java 1.8.0_25,00.375,654,1281,3314
460,java 1.8.0_25,00.353,659,1261,2919
461,java 1.8.0_25,00.412,670,1367,2859
462,java 1.8.0_25,00.357,633,1327,3933
463,java 1.8.0_25,00.373,667,1321,3269
464,java 1.8.0_25,00.353,686,1314,2825
465,java 1.8.0_25,00.372,686,1340,2978
466,java 1.8.0_25,00.345,702,1345,3127
467,java 1.8.0_25,00.369,681,1309,3060
468,java 1.8.0_25,00.356,674,1297,3341
469,java 1.8.0_25,00.406,666,1293,3445
470,java 1.8.0_25,00.367,670,1339,3459
471,java 1.8.0_25,00.381,717,1397,2627
472,java 1.8.0_25,00.386,679,1374,3139
473,java 1.8.0_25,00.362,670,1314,3406
474,java 1.8.0_25,00.364,668,1346,3385
475,java 1.8.0_25,00.377,702,1363,2753
476,java 1.8.0_25,00.349,661,1321,2985
477,java 1.8.0_25,00.340,704,1390,2962
478,java 1.8.0_25,00.395,701,1405,3346
479,java 1.8.0_25,00.361,705,1404,3296
480,java 1.8.0_25,00.367,702,1428,3021
481,java 1.8.0_25,00.367,708,1360,3147
482,java 1.8.0_25,00.367,708,1383,2881
483,java 1.8.0_25,00.375,705,1386,3012
484,java 1.8.0_25,00.359,728,1398,3519
485,java 1.8.0_25,00.411,726,1421,3190
486,java 1.8.0_25,00.382,739,1418,3090
487,java 1.8.0_25,00.438,689,1420,3669
488,java 1.8.0_25,00.415,745,1406,2835
489,java 1.8.0_25,00.366,704,1441,3342
490,java 1.8.0_25,00.405,721,1423,3814
491,java 1.8.0_25,00.362,743,1457,2894
492,java 1.8.0_25,00.380,711,1360,3379
493,java 1.8.0_25,00.405,711,1424,3657
494,java 1.8.0_25,00.372,729,1479,3411
495,java 1.8.0_25,00.371,700,1351,3749
496,java 1.8.0_25,00.382,767,1452,2977
497,java 1.8.0_25,00.361,735,1387,3497
498,java 1.8.0_25,00.361,742,1474,3057
499,java 1.8.0_25,00.356,722,1407,3830
500,java 1.8.0_25,00.350,749,1422,3111
501,java 1.8.0_25,00.369,749,1457,3299
502,java 1.8.0_25,00.358,757,1434,3330
503,java 1.8.0_25,00.423,759,1411,2938
504,java 1.8.0_25,00.388,761,1450,3164
505,java 1.8.0_25,00.391,737,1510,3219
506,java 1.8.0_25,00.432,759,1446,3112
507,java 1.8.0_25,00.398,746,1501,3093
508,java 1.8.0_25,00.389,787,1476,3031
509,java 1.8.0_25,00.403,773,1504,3905
510,java 1.8.0_25,00.370,759,1478,3532
511,java 1.8.0_25,00.374,745,1533,3475
512,java 1.8.0_25,00.373,748,1424,3485
513,java 1.8.0_25,00.378,792,1551,2977
514,java 1.8.0_25,00.393,798,1467,3503
515,java 1.8.0_25,00.370,750,1528,3707
516,java 1.8.0_25,00.368,802,1548,2796
517,java 1.8.0_25,00.400,803,1512,3494
518,java 1.8.0_25,00.377,761,1512,3458
519,java 1.8.0_25,00.381,779,1500,3390
520,java 1.8.0_25,00.379,796,1569,3256
521,java 1.8.0_25,00.371,789,1527,3962
522,java 1.8.0_25,00.386,747,1503,3639
523,java 1.8.0_25,00.411,774,1551,3148
524,java 1.8.0_25,00.356,772,1551,3935
525,java 1.8.0_25,00.390,769,1465,3497
526,java 1.8.0_25,00.371,797,1482,3481
527,java 1.8.0_25,00.363,771,1615,3720
528,java 1.8.0_25,00.387,794,1487,3414
529,java 1.8.0_25,00.368,776,1569,3675
530,java 1.8.0_25,00.373,774,1567,3803
531,java 1.8.0_25,00.390,762,1504,4017
532,java 1.8.0_25,00.379,796,1639,3524
533,java 1.8.0_25,00.365,787,1537,3527
534,java 1.8.0_25,00.417,797,1550,3388
535,java 1.8.0_25,00.409,827,1530,3389
536,java 1.8.0_25,00.406,765,1566,4755
537,java 1.8.0_25,00.373,826,1586,3289
538,java 1.8.0_25,00.403,800,1584,4235
539,java 1.8.0_25,00.405,828,1628,4076
540,java 1.8.0_25,00.436,851,1567,3356
541,java 1.8.0_25,00.410,794,1540,3455
542,java 1.8.0_25,00.407,829,1541,4712
543,java 1.8.0_25,00.415,829,1652,3474
544,java 1.8.0_25,00.400,808,1584,3664
545,java 1.8.0_25,00.438,840,1664,3376
546,java 1.8.0_25,00.377,819,1581,3854
547,java 1.8.0_25,00.400,850,1623,3433
548,java 1.8.0_25,00.435,863,1600,3545
549,java 1.8.0_25,00.388,788,1575,4712
550,java 1.8.0_25,00.400,852,1600,3513
551,java 1.8.0_25,00.432,838,1686,3133
552,java 1.8.0_25,00.384,828,1562,4346
553,java 1.8.0_25,00.363,833,1585,4007
554,java 1.8.0_25,00.391,839,1738,3638
555,java 1.8.0_25,00.402,860,1679,3300
556,java 1.8.0_25,00.382,812,1564,4038
557,java 1.8.0_25,00.360,856,1644,3721
558,java 1.8.0_25,00.412,891,1701,3137
559,java 1.8.0_25,00.384,868,1679,3351
560,java 1.8.0_25,00.410,820,1670,3834
561,java 1.8.0_25,00.397,850,1629,4046
562,java 1.8.0_25,00.374,901,1729,2971
563,java 1.8.0_25,00.374,849,1684,3707
564,java 1.8.0_25,00.385,849,1559,3941
565,java 1.8.0_25,00.406,875,1706,3444
566,java 1.8.0_25,00.384,867,1654,3975
567,java 1.8.0_25,00.374,859,1620,4205
568,java 1.8.0_25,00.398,840,1591,5788
569,java 1.8.0_25,00.411,862,1653,3574
570,java 1.8.0_25,00.389,885,1647,3549
571,java 1.8.0_25,00.361,875,1682,4544
572,java 1.8.0_25,00.374,864,1615,3799
573,java 1.8.0_25,00.526,868,1714,3471
574,java 1.8.0_25,00.510,874,1676,3848
575,java 1.8.0_25,00.551,872,1734,4141
576,java 1.8.0_25,00.531,899,1684,3688
577,java 1.8.0_25,00.507,849,1783,4303
578,java 1.8.0_25,00.425,869,1664,4081
579,java 1.8.0_25,00.413,892,1681,4157
580,java 1.8.0_25,00.388,874,1687,4014
581,java 1.8.0_25,00.405,880,1628,3609
582,java 1.8.0_25,00.416,905,1779,3341
583,java 1.8.0_25,00.379,919,1822,3975
584,java 1.8.0_25,00.405,904,1756,3506
585,java 1.8.0_25,00.377,875,1706,4736
586,java 1.8.0_25,00.397,905,1704,4077
587,java 1.8.0_25,00.425,870,1720,5187
588,java 1.8.0_25,00.380,916,1667,3743
589,java 1.8.0_25,00.402,917,1722,3899
590,java 1.8.0_25,00.417,939,1727,3455
591,java 1.8.0_25,00.416,956,1735,3440
592,java 1.8.0_25,00.381,929,1714,4113
593,java 1.8.0_25,00.398,931,1824,3550
594,java 1.8.0_25,00.415,904,1678,4559
595,java 1.8.0_25,00.425,897,1729,4861
596,java 1.8.0_25,00.386,961,1769,3610
597,java 1.8.0_25,00.397,926,1772,4305
598,java 1.8.0_25,00.418,911,1710,4150
599,java 1.8.0_25,00.377,883,1675,4537
600,java 1.8.0_25,00.400,932,1764,3590
601,java 1.8.0_25,00.425,945,1746,4620
602,java 1.8.0_25,00.388,938,1721,4084
